id,parentId,classificationTypeId,code,description,level,classificationNodeTypeId,path,isActive
1,87,1,CO5,"This refers to the allocation of overheads (receiving department) to a cost centre used by multiple functions, such as Information Technology; for example, pro rata allocations based on the number of service points or users such as the electricity department.  ",3,3,SCOACOST-CO0-CO3-CO5,1
2,12,4,IA1674,"A heritage asset shall not be depreciated but an entity shall assess at each reporting date whether there is an indication that it may be impaired. If any such indication exists, the entity shall estimate the recoverable amount or the recoverable service amount of the heritage asset.  ",6,6,SCOAITEM-IA0-IA5996-IA23-IA88-IA290-IA1674,1
3,10,4,IA3323,Prior Period Corrections and adjustments on Property Rates  Farm Properties - Business and Commercial Purposes.,7,7,SCOAITEM-IA0-IA2-IA3-IA46-IA180-IA579-IA3323,1
4,70,6,RX14,"Whole of the Province is the posting level for all transactions made within the Provincial Borders and not contributing to a specific community.  The use of this category is restricted to areas specifically identified and accepted as such by the Project Steering Committee to be municipal functions performed as part of a provincial strategy and executed as co-operative government, for example the non-core functions provided for as agency services in the Function Segment.  This allocation is specific to agency service provided on behalf of the Mpumalanga, for example library service, housing development and road ordinance.",4,4,SCOAREGION-RX0-RX4087-RX3-RX14,1
5,45,4,IE684,Interest paid on local registered stock.,5,5,SCOAITEM-IE0-IE8-IE118-IE321-IE684,1
6,48,1,CO170,Information Technology System Application Recovery to receiving departments within a cost recovery agreement.  ,5,5,SCOACOST-CO0-CO3-CO5-CO87-CO170,1
7,85,3,FD56,"Funds generated from the collection of (new taxes) instituted in terms of the Municipal Fiscal Powers and Functions Act, No 12 of 2007.  Also included in this group of accounts is property rates levied in terms of the Local Government Municipal Property Rates Act, No 6 of 2004.  ",5,5,SCOAFUND-FD0-FD197-FD7-FD11-FD56,1
8,31,4,IR156,Fees charge for connectingreconnecting a new user or disconnect user to the water network. ,5,5,SCOAITEM-IR0-IR2-IR11-IR44-IR156,1
9,74,4,IE16,"This group of accounts distinguish between Outsourced Services, Contractors and Professional and Special Services.  ",2,2,SCOAITEM-IE0-IE16,1
10,62,4,IA579,Accounts receivables from property rates levied on Farm Properties - Business and Commercial Purposes.,6,6,SCOAITEM-IA0-IA2-IA3-IA46-IA180-IA579,1
11,27,4,IL197,This account is for recording local registered stock.  Local registered stock refers to stockbond issues made by the municipality through BESA being part of the JSE.  ,5,5,SCOAITEM-IL0-IL2-IL4-IL79-IL197,1
12,83,4,IA290,Classification as per the CIDMS Classification,5,5,SCOAITEM-IA0-IA5996-IA23-IA88-IA290,1
13,88,2,FX113,"Include licensing of food and liquor sales to the public and licensing of street traders (hawkers control) and business.  Does not include building or planning regulation or vehicle licensing.  [Included in GFS ~ Planning and Development  Licensing and Regulation.  Non-core Function as determined ito the Constitution section 156(1) with Schedule 5Afor liquor licences.  Not specifically defined being within the powers and functions of a district municipality by section 83 and 84 of the Local Government Municipal Structures Act, however the MEC may alter these functions in terms of section 85 of this Act]",4,4,SCOAFUNCTION-FX0-FX6-FX35-FX113,1
14,21,4,IL2,Current liabilities comprise of all money owed by an entity which is due within one year after the reporting date. ,2,2,SCOAITEM-IL0-IL2,1
15,37,4,IA46,"This account provides for amounts outstanding from rate payers levied in terms of the Municipal Property Rates Act.  Property Rates means a municipal rate on property envisaged in section 229 (1)(a) of the Constitution.  Rateable property means property on which a municipality may in terms of section 2 levy a rate, excluding property fully excluded from the levying of rates in terms of section 17.  [Local Government Municipal Property Rates Act and Regulation 6 of 2004]",4,4,SCOAITEM-IA0-IA2-IA3-IA46,1
16,82,3,FD7,"Sources of funding for general use to execute the functions and powers allocated to the Municipality.  This category includes Major Tariff Services, Fines, Penalties and Forfeits, Taxes, Returns on Investments (interest and dividends) and Equitable Share.  Less material services rendered, administrative, registration fees, sale of assets also falls within this category.",3,3,SCOAFUND-FD0-FD197-FD7,1
17,NULL,1,CO0,Providing for secondary cost allocation in separate categories for charge out and recoveries.,1,1,SCOACOST-CO0,1
18,NULL,4,IZ0,Gains and losses are treated as a separate group of accounts due to the nature of these transaction.  Gains arise from the proceeds of the transaction exceeding the recognised value and losses from the recognised value exceeding the proceeds realised from the transaction.,1,1,SCOAITEM-IZ0,1
19,18,4,IZ3,"The gain or loss arising from the derecognition of an asset determined as the difference between the net disposal proceeds, if any, and the carrying amount of the asset.  It shall be recognised in surplus or deficit when the asset is derecognised.",2,2,SCOAITEM-IZ0-IZ3,1
20,81,4,IR35983,"In a non-exchange transaction, the municipality either receive value from another entity without directly giving approximately equal value in exchange, or gives value to another entity without directly receiving approximately equal value in exchange.",2,2,SCOAITEM-IR0-IR35983,1
21,NULL,4,IL0,Liabilities are future sacrifices of economic benefits that an entity is presently obliged to make to other entities as a result of past transactions or other past events.  ,1,1,SCOAITEM-IL0,1
